A00,霍乱,,,,
A00.0,"霍乱,由于01群霍乱弧菌,霍乱生物型所致",,,,
A00.001,古典生物型霍乱,,,,
A00.1,"霍乱,由于01群霍乱弧菌,埃尔托生物型所致",,,,
A00.101,埃尔托生物型霍乱,,,,
A00.9,未特指的霍乱,,,,
A00.901,霍乱,,,,
A00.902,霍乱轻型,,,,
A00.903,霍乱中型,,,,
A00.904,霍乱重型,,,,
A00.905,霍乱暴发型,,,,
A01,伤寒和副伤寒,,,,
A01.0,伤寒,,,,
A01.001,伤寒,,,,
A01.002,伤寒杆菌败血症,,,,
A01.003+G01*,伤寒并发脑膜炎,,,,
A01.004,伤寒复发,,,,
A01.005+J17.0*,伤寒并发肺炎,,,,
A01.006,伤寒迁延型,,,,
A01.007,伤寒逍遥型,,,,
A01.008,伤寒并发腹膜炎,,,,
A01.009,伤寒并发肠穿孔,,,,
A01.010,伤寒并发肠出血,,,,
A01.011,伤寒并发中毒性肝炎,,,,
A01.012,伤寒并发支气管炎,,,,
A01.014,伤寒并发胆囊炎,,,,
A01.016+I41.0*,伤寒并发中毒性心肌炎,,,,
A01.017,伤寒轻型,,,,
A01.018,伤寒普通型,,,,
A01.019,伤寒暴发型,,,,
A01.020,伤寒再燃,,,,
A01.1,副伤寒甲,,,,
A01.101,副伤寒甲,,,,
A01.2,副伤寒乙,,,,
A01.201,副伤寒乙,,,,
A01.3,副伤寒丙,,,,
A01.301,副伤寒丙,,,,
A01.4,未特指的副伤寒,,,,
A01.401,副伤寒,,,,
A02,其他沙门菌感染,,,,
A02.0,沙门菌肠炎,,,,
A02.001,沙门菌肠炎,,,,
A02.002,沙门菌胃肠炎,,,,
A02.003,沙门菌伦敦血清型肠炎,,,,
A02.004,鼠伤寒沙门菌肠炎,,,,
A02.005,婴儿沙门菌肠炎,,,,
A02.006,C群沙门菌肠炎,,,,
A02.007,B群沙门菌肠炎,,,,
A02.008,阿哥拉沙门菌肠炎,,,,
A02.009,沙门菌小肠炎,,,,
A02.010,猪霍乱沙门菌肠炎,,,,
A02.1,沙门菌脓毒病,,,,
A02.101,沙门菌败血症,,,,
A02.102,鼠伤寒沙门菌败血症,,,,
A02.103,猪霍乱沙门菌败血症,,,,
A02.104,沙门菌脓毒血症,,,,
A02.2,局限性沙门菌感染,,,,
A02.201+J17.0*,沙门菌性肺炎,,,,
A02.202+M01.3*,沙门菌性关节炎,,,,
A02.203+G01*,沙门菌性脑膜炎,,,,
A02.204+N16.0*,沙门菌性肾小管间质病,,,,
A02.205+M90.2*,沙门菌性骨髓炎,,,,
A02.8,其他特指的沙门菌感染,,,,
A02.9,未特指的沙门菌感染,,,,
A02.901,沙门菌感染,,,,
A02.902,鼠伤寒沙门菌感染,,,,
A02.903,沙门菌属食物中毒,,,,
A02.904,亚利桑那菌感染,,,,
A02.905,猪霍乱沙门菌感染,,,,
A03,细菌性痢疾,,,,
A03.0,志贺痢疾杆菌引起的细菌性痢疾,,,,
A03.001,痢疾志贺菌痢疾,,,,
A03.1,弗氏志贺菌引起的细菌性痢疾,,,,
A03.101,福氏志贺菌痢疾,,,,
A03.2,波氏志贺菌引起的细菌性痢疾,,,,
A03.201,鲍氏志贺菌痢疾,,,,
A03.3,宋内志贺菌引起的细菌性痢疾,,,,
A03.301,宋内志贺菌痢疾,,,,
A03.8,其他细菌性痢疾,,,,
A03.801,不定型志贺菌痢疾,,,,
A03.802,菌痢混合感染,,,,
A03.9,未特指的细菌性痢疾,,,,
A03.901,急性细菌性痢疾,,,,
A03.902,慢性细菌性痢疾急性发作,,,,
A03.903,慢性迁延型菌痢,,,,
A03.904,慢性细菌性痢疾,,,,
A03.905,慢性隐匿型菌痢,,,,
A03.906,中毒型菌痢,,,,
A03.907,中毒型菌痢休克型,,,,
A03.908,中毒型菌痢脑型,,,,
A03.909,中毒型菌痢混合型,,,,
A04,其他细菌性肠道感染,,,,
A04.0,肠道病原性大肠杆菌感染,,,,
A04.001,新生儿肠致病性大肠杆菌肠炎,,,,
A04.002,肠致病性大肠杆菌肠炎,,,,
A04.1,肠毒性大肠杆菌感染,,,,
A04.101,肠毒性大肠杆菌肠炎,,,,
A04.102,新生儿肠毒性大肠杆菌肠炎,,,,
A04.2,肠侵袭性大肠杆菌感染,,,,
A04.201,肠侵袭性大肠杆菌肠炎,,,,
A04.202,新生儿肠侵袭性大肠杆菌肠炎,,,,
A04.3,肠出血性大肠杆菌感染,,,,
A04.301,肠出血性大肠杆菌肠炎,,,,
A04.302,新生儿肠出血性大肠杆菌肠炎,,,,
A04.4,肠道大肠杆菌感染,,,,
A04.401,大肠杆菌肠炎,,,,
A04.402,新生儿大肠杆菌肠炎,,,,
A04.403,新生儿肠粘附性大肠杆菌肠炎,,,,
A04.404,肠粘附性大肠杆菌肠炎,,,,
A04.5,弯曲菌肠炎,,,,
A04.501,弯曲菌肠炎,,,,
A04.6,小肠结肠耶尔森菌性小肠炎,,,,
A04.601,耶尔森菌肠炎,,,,
A04.7,艰难梭状芽胞杆菌性小肠结肠炎,,,,
A04.701,假膜性肠炎[难辨梭状芽孢杆菌肠炎],,,,
A04.702,抗生素相关性肠炎,,,,
A04.8,其他特指的细菌性肠道感染,,,,
A04.801,吡邻单胞菌肠炎,,,,
A04.802,变形杆菌肠炎,,,,
A04.803,产气杆菌肠炎,,,,
A04.804,肠道厌氧菌感染,,,,
A04.806,副溶血弧菌肠炎,,,,
A04.807,金黄色葡萄球菌肠炎,,,,
A04.808,绿脓杆菌肠炎,,,,
A04.810,嗜水气单胞菌肠炎,,,,
A04.9,未特指的细菌性肠道感染,,,,
A04.902,细菌性肠炎,,,,
A04.903,细菌性结肠炎,,,,
A05,"其他细菌性食物中毒,不可归类在他处者",,,,
A05.0,食物媒介的葡萄球菌性食物中毒,,,,
A05.001,葡萄球菌食物中毒,,,,
A05.1,肉毒中毒,,,,
A05.101,肉毒中毒,,,,
A05.2,食物媒介的产气荚膜梭状芽胞杆菌[韦尔希梭状芽胞杆菌]食物中毒,,,,
A05.202,急性出血性坏死性肠炎,,,,
A05.3,食物媒介的副溶血性弧菌食物中毒,,,,
A05.301,副溶血性弧菌食物中毒,,,,
A05.4,食物媒介的蜡样芽胞杆菌食物中毒,,,,
A05.401,蜡样芽胞杆菌食物中毒,,,,
A05.8,其他特指的细菌性食物中毒,,,,
A05.9,未特指的细菌性食物中毒,,,,
A05.901,细菌性食物中毒,,,,
A06,阿米巴病,,,,
A06.0,急性阿米巴痢疾,,,,
A06.001,阿米巴肠炎,,,,
A06.004,急性阿米巴痢疾,,,,
A06.005,急性肠阿米巴病,,,,
A06.008,肠阿米巴病,,,,
A06.1,慢性肠阿米巴病,,,,
A06.101,慢性肠阿米巴病,,,,
A06.102,阿米巴肠溃疡,,,,
A06.2,阿米巴非痢疾性结肠炎,,,,
A06.201,非痢疾性阿米巴结肠炎,,,,
A06.3,肠道阿米巴瘤,,,,
A06.301,阿米巴肉芽肿,,,,
A06.4,阿米巴肝脓肿,,,,
A06.401,肝阿米巴病[阿米巴肝脓肿],,,,
A06.5+,阿米巴肺脓肿,,,,
A06.502+J99.8*,肺阿米巴病[阿米巴肺脓肿],,,,
A06.6+,阿米巴脑脓肿,,,,
A06.601+G07*,阿米巴脑脓肿,,,,
A06.7,皮肤阿米巴病,,,,
A06.703,皮肤阿米巴病,,,,
A06.8,其他部位的阿米巴感染,,,,
A06.801,阿米巴膀胱炎,,,,
A06.802,阿米巴阑尾炎,,,,
A06.803,阿米巴精囊炎,,,,
A06.804+N51.2*,阿米巴龟头炎,,,,
A06.9,未特指的阿米巴病,,,,
A06.901,阿米巴病,,,,
A06.902,阿米巴感染,,,,
A07,其他原虫性肠道疾病,,,,
A07.0,小袋纤毛虫病,,,,
A07.001,小袋纤毛虫病,,,,
A07.1,贾第虫病[兰伯鞭毛虫病],,,,
A07.101,贾第虫病,,,,
A07.2,隐孢子虫病,,,,
